penguin,test_image,min_hamming,max_ncc,nearest_by_hash,nearest_by_ncc,exif_time_gap_s,min_frame_gap,same_camera_prefix,same_session,leaky,knn_correct
Beaker,Beaker1.jpg,24,0.355,IMG_3054.jpeg,IMG_0831_box1.jpg,,1,True,True,False,False
Beaker,Beaker12.jpg,20,0.434,IMG_3052.jpeg,Beaker13.jpg,,1,True,True,False,True
Beaker,Beaker4.jpg,15,0.297,Beaker11.jpg,Beaker11.jpg,,1,True,True,False,True
Beaker,IMG_3055.jpeg,23,0.338,IMG_0831_box1.jpg,IMGP0626.JPG,,1,True,True,False,True
Beau,1.jpg,19,0.202,IMG_4324 copy.jpeg,IMG_4410 copy.jpeg,,1,True,True,False,True
Beau,IMG_4318 copy.jpeg,15,0.821,IMG_4317 copy.jpeg,IMG_4317 copy.jpeg,2.0,1,True,True,False,True
Beau,IMG_4424 copy.jpeg,14,0.816,IMG_4423 copy.jpeg,IMG_4423 copy.jpeg,2.0,1,True,True,False,True
Bob,Bob2.jpg,22,0.172,DSC_2463.jpeg,DSC_2465.jpeg,,1,True,True,False,True
Bob,Bob4.jpg,6,0.815,Bob3.jpg,Bob3.jpg,,1,True,True,True,True
Bob,DSC_2563.jpeg,15,0.467,Bob1.jpg,DSC_2564.jpeg,,1,True,True,False,True
Bud,Bud12.jpg,21,0.393,Bud8.jpg,Bud13.jpg,,1,True,True,False,True
Bud,Bud16.jpg,17,0.857,Bud14.jpg,Bud14.jpg,,1,True,True,True,True
Bud,Bud2.jpg,25,0.27,IMGP0646.JPG,IMGP0647.JPG,,1,True,True,False,True
Bud,Bud6.jpg,16,0.465,Bud4.jpg,Bud4.jpg,,1,True,True,False,True
Bud,IMGP0653.JPG,20,0.519,IMGP0644.JPG,IMGP0654.JPG,,1,True,True,False,True
Calypso,Calypso2.jpg,23,0.327,IMG_0784_box2.jpg,IMG_0784_box2.jpg,,1,True,True,False,True
Calypso,IMG_0783_box4.jpg,18,0.691,IMG_0784_box2.jpg,IMG_0784_box2.jpg,,1,True,True,False,True
Calypso,IMG_0800_box1.jpg,25,0.314,IMG_1561_box3.jpg,IMG_0784_box2.jpg,,15,True,True,False,False
Calypso,IMG_2393_box4.jpg,21,0.27,IMG_2109_box5.jpg,IMG_2260_box3.jpg,,96,True,False,False,True
Chompy,DSC_2434.jpeg,26,0.25,Chompy10.jpg,Chompy11.jpg,,,False,False,False,False
Chompy,DSC_2435.jpeg,25,0.19,Chompy10.jpg,Chompy11.jpg,,,False,False,False,False
Chompy,IMGP0665.JPG,21,0.478,IMGP0667.JPG,IMGP0666.JPG,,1,True,True,False,True
Chompy,IMGP0705.JPG,16,0.434,IMGP0669.JPG,IMGP0709.JPG,,1,True,True,False,True
