source_path,output_path,status,confidence,det_left,det_top,det_right,det_bottom,crop_left,crop_top,crop_right,crop_bottom
penguins_data\Beaker\Beaker1.jpg,belly\Beaker\Beaker1.jpg,no_detection_fallback,0.000,,,,,131,385,1181,1233
penguins_data\Beaker\Beaker10.jpg,belly\Beaker\Beaker10.jpg,yolo(conf=0.84),0.837,391,649,803,1320,370,615,824,1354
penguins_data\Beaker\Beaker11.jpg,belly\Beaker\Beaker11.jpg,yolo(conf=0.73),0.734,396,695,807,1298,375,665,828,1328
penguins_data\Beaker\Beaker12.jpg,belly\Beaker\Beaker12.jpg,yolo(conf=0.76),0.756,434,619,797,1190,416,590,815,1219
penguins_data\Beaker\Beaker13.jpg,belly\Beaker\Beaker13.jpg,yolo(conf=0.90),0.899,402,602,877,1298,378,567,901,1333
penguins_data\Beaker\Beaker14.jpg,belly\Beaker\Beaker14.jpg,yolo(conf=0.82),0.822,290,416,614,1027,274,385,630,1058
penguins_data\Beaker\Beaker2.jpg,belly\Beaker\Beaker2.jpg,yolo(conf=0.59),0.590,88,483,493,872,68,464,513,891
penguins_data\Beaker\Beaker3.jpg,belly\Beaker\Beaker3.jpg,no_detection_fallback,0.000,,,,,72,311,653,996
penguins_data\Beaker\Beaker4.jpg,belly\Beaker\Beaker4.jpg,yolo(conf=0.79),0.792,424,477,881,1126,401,445,904,1158
penguins_data\Beaker\Beaker5.jpg,belly\Beaker\Beaker5.jpg,yolo(conf=0.60),0.601,401,532,973,1450,372,486,1002,1496
penguins_data\Beaker\Beaker6.jpg,belly\Beaker\Beaker6.jpg,yolo(conf=0.84),0.841,419,552,818,1179,399,521,838,1210
penguins_data\Beaker\Beaker7.jpg,belly\Beaker\Beaker7.jpg,no_detection_fallback,0.000,,,,,121,403,1094,1291
penguins_data\Beaker\Beaker8.jpg,belly\Beaker\Beaker8.jpg,yolo(conf=0.83),0.827,321,548,750,1095,300,521,771,1122
penguins_data\Beaker\Beaker9.jpg,belly\Beaker\Beaker9.jpg,no_detection_fallback,0.000,,,,,118,398,1067,1276
penguins_data\Beaker\IMG_0342_box1.jpg,belly\Beaker\IMG_0342_box1.jpg,yolo(conf=0.59),0.593,412,274,1026,1498,381,213,1026,1559
penguins_data\Beaker\IMG_0673_box1.jpg,belly\Beaker\IMG_0673_box1.jpg,no_detection_fallback,0.000,,,,,89,276,805,883
penguins_data\Beaker\IMG_0831_box1.jpg,belly\Beaker\IMG_0831_box1.jpg,yolo(conf=0.44),0.442,217,511,859,1225,185,475,891,1261
penguins_data\Beaker\IMG_3052.jpeg,belly\Beaker\IMG_3052.jpeg,yolo(conf=0.49),0.487,2,44,506,658,0,13,531,689
penguins_data\Beaker\IMG_3053.jpeg,belly\Beaker\IMG_3053.jpeg,yolo(conf=0.57),0.574,330,313,825,1094,305,274,850,1133
penguins_data\Beaker\IMG_3054.jpeg,belly\Beaker\IMG_3054.jpeg,yolo(conf=0.42),0.421,65,323,522,1203,42,279,545,1247
penguins_data\Beaker\IMG_3055.jpeg,belly\Beaker\IMG_3055.jpeg,yolo(conf=0.42),0.419,245,211,707,1074,222,168,730,1117
penguins_data\Beaker\IMGP0625.JPG,belly\Beaker\IMGP0625.JPG,yolo(conf=0.70),0.703,432,614,1180,1982,395,546,1217,2050
penguins_data\Beaker\IMGP0626.JPG,belly\Beaker\IMGP0626.JPG,yolo(conf=0.70),0.696,360,568,1332,2152,311,489,1381,2231
penguins_data\Beaker\IMGP0627.JPG,belly\Beaker\IMGP0627.JPG,yolo(conf=0.66),0.660,363,553,821,1618,340,500,821,1671
penguins_data\Beaker\thumbnail_image001-2.jpg,belly\Beaker\thumbnail_image001-2.jpg,yolo(conf=0.73),0.727,574,739,1450,2154,530,668,1494,2225
penguins_data\Beau\1.jpg,belly\Beau\1.jpg,no_detection_fallback,0.000,,,,,80,376,724,1203
penguins_data\Beau\2.jpg,belly\Beau\2.jpg,yolo(conf=0.60),0.602,132,404,556,1176,111,365,577,1215
penguins_data\Beau\Beau3.jpg,belly\Beau\Beau3.jpg,yolo(conf=0.62),0.618,97,334,592,1118,72,295,617,1157
penguins_data\Beau\IMG_4308 copy.jpeg,belly\Beau\IMG_4308 copy.jpeg,yolo(conf=0.65),0.652,83,223,382,628,68,203,397,648
penguins_data\Beau\IMG_4309 copy.jpeg,belly\Beau\IMG_4309 copy.jpeg,yolo(conf=0.36),0.358,129,74,435,639,114,46,450,667
penguins_data\Beau\IMG_4310 copy.jpeg,belly\Beau\IMG_4310 copy.jpeg,yolo(conf=0.59),0.588,167,161,390,422,156,148,401,435
penguins_data\Beau\IMG_4311 copy.jpeg,belly\Beau\IMG_4311 copy.jpeg,yolo(conf=0.26),0.257,0,498,330,615,0,492,346,616
penguins_data\Beau\IMG_4317 copy.jpeg,belly\Beau\IMG_4317 copy.jpeg,yolo(conf=0.71),0.710,128,262,430,771,113,237,445,796
penguins_data\Beau\IMG_4318 copy.jpeg,belly\Beau\IMG_4318 copy.jpeg,yolo(conf=0.72),0.724,151,226,462,747,135,200,478,773
penguins_data\Beau\IMG_4324 copy.jpeg,belly\Beau\IMG_4324 copy.jpeg,yolo(conf=0.69),0.688,204,269,607,775,184,244,627,800
penguins_data\Beau\IMG_4325 copy.jpeg,belly\Beau\IMG_4325 copy.jpeg,yolo(conf=0.61),0.614,139,272,538,700,119,251,558,721
penguins_data\Beau\IMG_4326 copy.jpeg,belly\Beau\IMG_4326 copy.jpeg,yolo(conf=0.55),0.546,150,239,676,794,124,211,702,822
penguins_data\Beau\IMG_4406 copy.jpeg,belly\Beau\IMG_4406 copy.jpeg,yolo(conf=0.40),0.405,1,107,180,340,0,95,189,352
penguins_data\Beau\IMG_4407 copy.jpeg,belly\Beau\IMG_4407 copy.jpeg,yolo(conf=0.33),0.329,115,148,329,450,104,133,340,465
penguins_data\Beau\IMG_4408 copy.jpeg,belly\Beau\IMG_4408 copy.jpeg,no_detection_fallback,0.000,,,,,53,151,478,485
penguins_data\Beau\IMG_4409 copy.jpeg,belly\Beau\IMG_4409 copy.jpeg,no_detection_fallback,0.000,,,,,43,163,394,524
penguins_data\Beau\IMG_4410 copy.jpeg,belly\Beau\IMG_4410 copy.jpeg,no_detection_fallback,0.000,,,,,41,164,377,527
penguins_data\Beau\IMG_4423 copy.jpeg,belly\Beau\IMG_4423 copy.jpeg,yolo(conf=0.29),0.294,88,248,431,913,71,215,448,946
penguins_data\Beau\IMG_4424 copy.jpeg,belly\Beau\IMG_4424 copy.jpeg,yolo(conf=0.32),0.324,61,231,381,820,45,202,397,849
penguins_data\Bilby\Bilby1.jpg,belly\Bilby\Bilby1.jpg,no_detection_fallback,0.000,,,,,83,299,748,957
penguins_data\Bilby\Bilby2.jpg,belly\Bilby\Bilby2.jpg,yolo(conf=0.81),0.809,62,224,374,752,46,198,390,778
penguins_data\Bilby\Bilby3.jpg,belly\Bilby\Bilby3.jpg,yolo(conf=0.82),0.818,98,235,592,1116,73,191,617,1160
penguins_data\Bilby\Bilby4.jpg,belly\Bilby\Bilby4.jpg,yolo(conf=0.47),0.472,20,261,418,1043,0,222,438,1082
penguins_data\Bilby\Bilby5.jpg,belly\Bilby\Bilby5.jpg,yolo(conf=0.81),0.810,88,263,522,923,66,230,544,956
penguins_data\Bob\Bob1.jpg,belly\Bob\Bob1.jpg,yolo(conf=0.85),0.851,360,578,815,1378,337,538,838,1418
penguins_data\Bob\Bob2.jpg,belly\Bob\Bob2.jpg,yolo(conf=0.74),0.737,332,555,888,1191,304,523,916,1223
penguins_data\Bob\Bob3.jpg,belly\Bob\Bob3.jpg,yolo(conf=0.77),0.771,187,426,607,1145,166,390,628,1181
penguins_data\Bob\Bob4.jpg,belly\Bob\Bob4.jpg,yolo(conf=0.73),0.727,181,381,603,1108,160,345,624,1144
penguins_data\Bob\Bob5.jpg,belly\Bob\Bob5.jpg,yolo(conf=0.81),0.815,271,369,591,729,255,351,607,747
penguins_data\Bob\Bob6.jpg,belly\Bob\Bob6.jpg,no_detection_fallback,0.000,,,,,70,315,631,1008
penguins_data\Bob\Bob7.jpg,belly\Bob\Bob7.jpg,yolo(conf=0.70),0.699,292,349,509,798,281,327,520,820
penguins_data\Bob\Bob8.jpg,belly\Bob\Bob8.jpg,yolo(conf=0.55),0.554,404,575,767,1164,386,546,785,1193
penguins_data\Bob\Bob9.jpg,belly\Bob\Bob9.jpg,yolo(conf=0.83),0.827,506,648,936,1270,484,617,958,1301
penguins_data\Bob\DSC_2463.jpeg,belly\Bob\DSC_2463.jpeg,yolo(conf=0.51),0.509,533,477,1655,2676,477,367,1711,2772
penguins_data\Bob\DSC_2464.jpeg,belly\Bob\DSC_2464.jpeg,yolo(conf=0.47),0.475,335,388,1683,2227,268,296,1750,2239
penguins_data\Bob\DSC_2465.jpeg,belly\Bob\DSC_2465.jpeg,yolo(conf=0.45),0.448,571,327,1884,2063,505,240,1950,2150
penguins_data\Bob\DSC_2466.jpeg,belly\Bob\DSC_2466.jpeg,yolo(conf=0.51),0.509,141,389,654,1374,115,340,680,1423
penguins_data\Bob\DSC_2467.jpeg,belly\Bob\DSC_2467.jpeg,yolo(conf=0.61),0.608,81,343,639,1459,53,287,667,1480
penguins_data\Bob\DSC_2563.jpeg,belly\Bob\DSC_2563.jpeg,no_detection_fallback,0.000,,,,,90,374,810,1196
penguins_data\Bob\DSC_2564.jpeg,belly\Bob\DSC_2564.jpeg,yolo(conf=0.53),0.534,268,353,779,1490,242,296,805,1547
penguins_data\Bob\DSC_2565.jpeg,belly\Bob\DSC_2565.jpeg,yolo(conf=0.71),0.711,115,248,454,1061,98,207,471,1102
penguins_data\Bob\DSC_2566.jpeg,belly\Bob\DSC_2566.jpeg,yolo(conf=0.71),0.708,122,248,470,1040,105,208,487,1080
