penguin_name,total_images,train_images,val_images,test_images
Medici,291,203,44,44
Ron_burgundy,190,133,28,29
Cooper,127,88,19,20
Kermit,69,48,10,11
Parky,67,46,10,11
Phineas,66,46,10,10
Heathcliffe,64,44,10,10
Tang,63,44,9,10
McVitie,54,37,8,9
Nicki,53,37,8,8
Gonzo,52,36,8,8
Rainbow,46,32,7,7
Dragon,46,32,7,7
Swiftie,43,30,6,7
Ziggy,41,28,6,7
Courtney,38,26,6,6
Olive,38,26,6,6
Spider,37,25,6,6
Danny,31,21,5,5
Not Tiki,31,21,5,5
Nik_nak,30,21,4,5
Bud,29,20,4,5
Snorkel,28,19,4,5
Patrick,28,19,4,5
Chompy,28,19,4,5
Pong,27,18,4,5
Lenny,27,18,4,5
Lannister,26,18,4,4
Beaker,25,17,4,4
Robin,24,16,4,4
Calypso,23,16,3,4
Jaz,22,15,3,4
Peapod,22,15,3,4
Ping,22,15,3,4
Ellis,22,15,3,4
Laura,20,14,3,3
Greyjoy,19,13,3,3
Ernest,19,13,3,3
Beau,19,13,3,3
Hanbury,19,13,3,3
Coco,18,12,3,3
Bob,18,12,3,3
Egg,17,11,3,3
Lucy,17,11,3,3
