source_path,output_path,status,confidence,det_left,det_top,det_right,det_bottom,crop_left,crop_top,crop_right,crop_bottom
penguins_dataset_split_body\test\Beaker\Beaker1.jpg,penguins_dataset_split_belly\test\Beaker\Beaker1.jpg,no_detection_fallback,0.000,,,,,77,382,695,1222
penguins_dataset_split_body\test\Beaker\Beaker12.jpg,penguins_dataset_split_belly\test\Beaker\Beaker12.jpg,yolo(conf=0.76),0.756,434,619,796,1190,416,590,814,1219
penguins_dataset_split_body\test\Beaker\Beaker4.jpg,penguins_dataset_split_belly\test\Beaker\Beaker4.jpg,yolo(conf=0.79),0.794,424,477,881,1126,401,445,904,1158
penguins_dataset_split_body\test\Beaker\IMG_3055.jpeg,penguins_dataset_split_belly\test\Beaker\IMG_3055.jpeg,yolo(conf=0.42),0.418,245,209,707,1074,222,166,730,1117
penguins_dataset_split_body\test\Beau\1.jpg,penguins_dataset_split_belly\test\Beau\1.jpg,no_detection_fallback,0.000,,,,,78,321,710,1028
penguins_dataset_split_body\test\Beau\IMG_4318 copy.jpeg,penguins_dataset_split_belly\test\Beau\IMG_4318 copy.jpeg,yolo(conf=0.64),0.638,161,170,462,670,146,145,477,695
penguins_dataset_split_body\test\Beau\IMG_4424 copy.jpeg,penguins_dataset_split_belly\test\Beau\IMG_4424 copy.jpeg,yolo(conf=0.49),0.489,59,231,384,799,43,203,400,827
penguins_dataset_split_body\test\Bob\Bob2.jpg,penguins_dataset_split_belly\test\Bob\Bob2.jpg,yolo(conf=0.74),0.738,332,555,889,1190,304,523,917,1222
penguins_dataset_split_body\test\Bob\Bob4.jpg,penguins_dataset_split_belly\test\Bob\Bob4.jpg,yolo(conf=0.73),0.730,182,381,605,1108,161,345,626,1144
penguins_dataset_split_body\test\Bob\DSC_2563.jpeg,penguins_dataset_split_belly\test\Bob\DSC_2563.jpeg,no_detection_fallback,0.000,,,,,75,374,680,1196
penguins_dataset_split_body\test\Bud\Bud12.jpg,penguins_dataset_split_belly\test\Bud\Bud12.jpg,yolo(conf=0.74),0.738,337,491,760,1084,316,461,781,1114
penguins_dataset_split_body\test\Bud\Bud16.jpg,penguins_dataset_split_belly\test\Bud\Bud16.jpg,yolo(conf=0.80),0.798,317,558,764,1154,295,528,786,1184
penguins_dataset_split_body\test\Bud\Bud2.jpg,penguins_dataset_split_belly\test\Bud\Bud2.jpg,yolo(conf=0.81),0.815,88,332,494,730,68,312,514,750
