epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26566,1.6548,6.3603,2.11019,0.83039,0.58696,0.72814,0.35736,1.52055,3.60255,1.92317,0.00036,0.00036,0.00036
2,13.7962,1.42722,2.33917,1.76205,0.06989,0.6087,0.06771,0.03355,1.63367,3.84156,1.93843,0.000732674,0.000732674,0.000732674
3,19.0484,1.57485,1.82918,1.84053,0.21212,0.53261,0.19303,0.05911,2.2316,40.0618,4.69238,0.00109782,0.00109782,0.00109782
4,24.1211,1.62388,1.74935,1.89587,0.02598,0.8913,0.03019,0.00769,2.74585,inf,15.3744,0.00145545,0.00145545,0.00145545
5,29.0858,1.55937,1.49471,1.75331,0.04827,0.80435,0.04931,0.01864,2.06789,117.084,7.32081,0.00180555,0.00180555,0.00180555
6,34.0953,1.62777,1.4842,1.83671,0.01623,0.19565,0.01028,0.00206,3.41661,147.399,16.7708,0.001901,0.001901,0.001901
7,39.0849,1.62575,1.50359,1.82235,0.00203,0.56522,0.00115,0.00029,3.20623,142.088,4.98945,0.0018812,0.0018812,0.0018812
8,44.0895,1.54093,1.37678,1.76166,0.07826,0.43478,0.05333,0.01396,2.63414,9.57641,5.92975,0.0018614,0.0018614,0.0018614
9,49.2326,1.66126,1.39598,1.83586,0.64001,0.79348,0.75638,0.23818,2.24899,2.03304,3.15418,0.0018416,0.0018416,0.0018416
10,54.2526,1.59043,1.32542,1.81792,0.16013,0.42391,0.17116,0.06175,2.1109,13.0092,3.43461,0.0018218,0.0018218,0.0018218
11,59.2397,1.55463,1.44741,1.76978,0.44365,0.52174,0.38209,0.14145,2.38003,2.70307,2.81195,0.001802,0.001802,0.001802
12,64.2258,1.49824,1.29485,1.7214,0.7864,0.69565,0.80741,0.37491,1.88543,1.22899,2.23981,0.0017822,0.0017822,0.0017822
13,69.3055,1.48078,1.30372,1.69182,0.79297,0.70652,0.84629,0.47229,1.6041,2.2649,1.96589,0.0017624,0.0017624,0.0017624
14,74.2773,1.46521,1.20765,1.72335,0.91741,0.84523,0.96006,0.52834,1.53065,0.96857,1.90621,0.0017426,0.0017426,0.0017426
15,79.2738,1.46329,1.18828,1.68545,0.87033,0.92391,0.96911,0.50829,1.66896,0.91571,1.9002,0.0017228,0.0017228,0.0017228
16,84.0523,1.43186,1.148,1.67464,0.83522,0.90217,0.92237,0.3796,2.07038,1.06664,2.41532,0.001703,0.001703,0.001703
17,88.8924,1.45094,1.18647,1.71274,0.88067,0.88242,0.93324,0.54404,1.48722,1.00464,1.78577,0.0016832,0.0016832,0.0016832
18,93.8602,1.39454,1.1373,1.62463,0.7304,0.72826,0.8051,0.35143,1.88448,1.4185,2.12321,0.0016634,0.0016634,0.0016634
19,98.8093,1.43732,1.14669,1.67,0.90735,0.91304,0.93141,0.46489,1.64048,0.89697,1.87739,0.0016436,0.0016436,0.0016436
20,103.705,1.43716,1.19126,1.65414,0.79958,0.82396,0.84769,0.43809,1.69524,1.17513,2.02485,0.0016238,0.0016238,0.0016238
21,108.454,1.49001,1.16944,1.69382,0.86937,0.86957,0.92813,0.44401,1.85513,1.28555,2.17346,0.001604,0.001604,0.001604
22,113.32,1.39136,1.12028,1.60798,0.89446,0.96739,0.97828,0.54286,1.59007,0.88667,1.82303,0.0015842,0.0015842,0.0015842
23,118.058,1.34883,1.10301,1.57665,0.90945,0.96739,0.97166,0.49719,1.69213,0.82227,1.89342,0.0015644,0.0015644,0.0015644
24,122.813,1.34287,1.08127,1.57822,0.94123,0.96739,0.97454,0.52881,1.61658,0.7408,1.84992,0.0015446,0.0015446,0.0015446
25,127.434,1.35617,1.08084,1.56935,0.95657,0.95764,0.97729,0.54122,1.58306,0.83451,1.79593,0.0015248,0.0015248,0.0015248
26,132.152,1.35341,1.07345,1.58707,0.95796,0.91304,0.96617,0.50904,1.72577,0.83614,1.90874,0.001505,0.001505,0.001505
27,136.862,1.36339,1.15661,1.59863,0.94909,0.91304,0.96205,0.5112,1.5354,0.91367,1.71212,0.0014852,0.0014852,0.0014852
