epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr
1,1.680666016528167,0.4987489574645538,3.538159238154812,0.0706713780918728,0.0003
2,0.4138870552443185,0.841534612176814,3.3639728846061354,0.15547703180212014,0.0003
3,0.1739746308803956,0.9107589658048374,3.055414642125052,0.21908127208480566,0.0003
4,0.08926328607183183,0.9582985821517932,3.1351956866234016,0.3003533568904594,0.0003
5,0.044837162358448646,0.9791492910758965,3.0818245916400278,0.3286219081272085,0.0003
6,0.0264746962213039,0.9899916597164303,2.9469922220749063,0.3498233215547703,0.0003
7,0.021693145385551095,0.9916597164303587,2.966392849022424,0.36042402826855124,0.0003
8,0.0164701715748667,0.9899916597164303,3.0807678623671246,0.3710247349823322,0.0003
9,0.012983396771310319,0.9966638865721434,2.948166704851831,0.45936395759717313,0.0003
10,0.009686762515185176,0.9974979149291076,3.0746030891741967,0.4204946996466431,0.0003
11,0.007769443124246856,0.9958298582151793,2.933037496708307,0.44876325088339225,0.0003
12,0.005424632218971637,0.9966638865721434,2.90923922306236,0.4416961130742049,0.0003
13,0.004970920336835888,0.9991659716430359,2.9950302026297093,0.4628975265017668,0.0003
14,0.0032929569813698605,1.0,2.9294186362950625,0.4628975265017668,0.0003
15,0.00427722756644467,0.9983319432860718,2.9573741211908025,0.43462897526501765,0.0003
16,0.004756558900489297,0.9966638865721434,3.057711865792426,0.4169611307420495,0.0003
17,0.002596891599336796,1.0,3.0247185087035486,0.4275618374558304,0.00015
18,0.002228474557117013,1.0,3.0158353323650022,0.45229681978798586,0.00015
19,0.0020548875922891774,1.0,2.9769177453677984,0.45936395759717313,0.00015
20,0.0024971524874887138,0.9983319432860718,3.003949958949544,0.4416961130742049,0.00015
21,0.0020285798186239,1.0,2.997016775313199,0.45229681978798586,7.5e-05
